identificador,captador,fecha_lectura,tipo_polinico,granos_de_polen_x_metro_cubico
1,ALCA,2024-12-31T00:00:00,Abedul,
2,ALCA,2024-12-31T00:00:00,Aligustre,
3,ALCA,2024-12-31T00:00:00,Aliso,
4,ALCA,2024-12-31T00:00:00,Arce,
5,ALCA,2024-12-31T00:00:00,Artemisia,
6,ALCA,2024-12-31T00:00:00,Castaño,
7,ALCA,2024-12-31T00:00:00,Compuestas,
8,ALCA,2024-12-31T00:00:00,Corylus,
9,ALCA,2024-12-31T00:00:00,Cupresáceas/Taxáceas,
10,ALCA,2024-12-31T00:00:00,Ericaceae,
11,ALCA,2024-12-31T00:00:00,Eucalipto,
12,ALCA,2024-12-31T00:00:00,Fresno,
13,ALCA,2024-12-31T00:00:00,Gramíneas,
14,ALCA,2024-12-31T00:00:00,Moreras,
15,ALCA,2024-12-31T00:00:00,Olivo,
16,ALCA,2024-12-31T00:00:00,Olmos,
17,ALCA,2024-12-31T00:00:00,Otros,
18,ALCA,2024-12-31T00:00:00,Pinos,
19,ALCA,2024-12-31T00:00:00,Plantago,
20,ALCA,2024-12-31T00:00:00,Plátano de paseo,
21,ALCA,2024-12-31T00:00:00,PNI (Polen no identificado),
22,ALCA,2024-12-31T00:00:00,Populus,
23,ALCA,2024-12-31T00:00:00,Quenopodiáceas/Amarantáceas,
24,ALCA,2024-12-31T00:00:00,Quercus,
25,ALCA,2024-12-31T00:00:00,Rumex (Acederas),
26,ALCA,2024-12-31T00:00:00,Sauces,
27,ALCA,2024-12-31T00:00:00,Urticaceae (Ortigas),
28,ALCA,2025-01-01T00:00:00,Abedul,
29,ALCA,2025-01-01T00:00:00,Aligustre,
30,ALCA,2025-01-01T00:00:00,Aliso,
31,ALCA,2025-01-01T00:00:00,Arce,
32,ALCA,2025-01-01T00:00:00,Artemisia,
33,ALCA,2025-01-01T00:00:00,Castaño,
34,ALCA,2025-01-01T00:00:00,Compuestas,
35,ALCA,2025-01-01T00:00:00,Corylus,
36,ALCA,2025-01-01T00:00:00,Cupresáceas/Taxáceas,
37,ALCA,2025-01-01T00:00:00,Ericaceae,
38,ALCA,2025-01-01T00:00:00,Eucalipto,
39,ALCA,2025-01-01T00:00:00,Fresno,
40,ALCA,2025-01-01T00:00:00,Gramíneas,
41,ALCA,2025-01-01T00:00:00,Moreras,
42,ALCA,2025-01-01T00:00:00,Olivo,
43,ALCA,2025-01-01T00:00:00,Olmos,
44,ALCA,2025-01-01T00:00:00,Otros,
45,ALCA,2025-01-01T00:00:00,Pinos,
46,ALCA,2025-01-01T00:00:00,Plantago,
47,ALCA,2025-01-01T00:00:00,Plátano de paseo,
48,ALCA,2025-01-01T00:00:00,PNI (Polen no identificado),
49,ALCA,2025-01-01T00:00:00,Populus,
50,ALCA,2025-01-01T00:00:00,Quenopodiáceas/Amarantáceas,
51,ALCA,2025-01-01T00:00:00,Quercus,
52,ALCA,2025-01-01T00:00:00,Rumex (Acederas),
53,ALCA,2025-01-01T00:00:00,Sauces,
54,ALCA,2025-01-01T00:00:00,Urticaceae (Ortigas),
55,ALCA,2025-01-02T00:00:00,Abedul,
56,ALCA,2025-01-02T00:00:00,Aligustre,
57,ALCA,2025-01-02T00:00:00,Aliso,
58,ALCA,2025-01-02T00:00:00,Arce,
59,ALCA,2025-01-02T00:00:00,Artemisia,
60,ALCA,2025-01-02T00:00:00,Castaño,
61,ALCA,2025-01-02T00:00:00,Compuestas,
62,ALCA,2025-01-02T00:00:00,Corylus,
63,ALCA,2025-01-02T00:00:00,Cupresáceas/Taxáceas,
64,ALCA,2025-01-02T00:00:00,Ericaceae,
65,ALCA,2025-01-02T00:00:00,Eucalipto,
66,ALCA,2025-01-02T00:00:00,Fresno,
67,ALCA,2025-01-02T00:00:00,Gramíneas,
68,ALCA,2025-01-02T00:00:00,Moreras,
69,ALCA,2025-01-02T00:00:00,Olivo,
70,ALCA,2025-01-02T00:00:00,Olmos,
71,ALCA,2025-01-02T00:00:00,Otros,
72,ALCA,2025-01-02T00:00:00,Pinos,
73,ALCA,2025-01-02T00:00:00,Plantago,
74,ALCA,2025-01-02T00:00:00,Plátano de paseo,
75,ALCA,2025-01-02T00:00:00,PNI (Polen no identificado),
76,ALCA,2025-01-02T00:00:00,Populus,
77,ALCA,2025-01-02T00:00:00,Quenopodiáceas/Amarantáceas,
78,ALCA,2025-01-02T00:00:00,Quercus,
79,ALCA,2025-01-02T00:00:00,Rumex (Acederas),
80,ALCA,2025-01-02T00:00:00,Sauces,
81,ALCA,2025-01-02T00:00:00,Urticaceae (Ortigas),
82,ALCA,2025-01-03T00:00:00,Abedul,
83,ALCA,2025-01-03T00:00:00,Aligustre,
84,ALCA,2025-01-03T00:00:00,Aliso,
85,ALCA,2025-01-03T00:00:00,Arce,
86,ALCA,2025-01-03T00:00:00,Artemisia,
87,ALCA,2025-01-03T00:00:00,Castaño,
88,ALCA,2025-01-03T00:00:00,Compuestas,
89,ALCA,2025-01-03T00:00:00,Corylus,
90,ALCA,2025-01-03T00:00:00,Cupresáceas/Taxáceas,
91,ALCA,2025-01-03T00:00:00,Ericaceae,
92,ALCA,2025-01-03T00:00:00,Eucalipto,
